Come si stabilisce il limite di autorita del project manager gia durante l avvio,Con un pm auto nominato,Si ignora la questione,Si inserisce nel charter il perimetro decisionale e la necessita di escalation sopra certe soglie di costo e scope,Si attende la pianificazione esecutiva,C
Cosa implica il definire in modo ambiguo i deliverable da produrre entro la fine del progetto nella charter,Rende flessibile la revisione contrattuale,Facilita la stima dei costi,Genera potenziali incomprensioni e scope creep piu avanti,Permette di avviare piu progetti in parallelo,C
Come vanno selezionati i componenti del core team in un avvio di progetto cruciale,Prendendo risorse a caso,Focus su figure di pura esecuzione,Identificando competenze chiave e includendo attori con potere decisionale e motivazione,Chiedendo ai manager di cedere le risorse peggiori,C
Perche e utile ottenere un act formalizzato di kickoff meeting oltre al project charter,Per duplicare la documentazione e basta,Perche cosi si riducono i rischi di conflitti,Per dare un momento ufficiale di inizio e condivisione con tutti i partecipanti chiarendo ruoli e obiettivi,Per scavalcare il team di procurement,C
Se l avvio rivela che il progetto contrasta con altre iniziative aziendali come risolvere,Proseguire ignorando il conflitto,Derogare ai manager funzionali,Effettuare un alignment con il portfolio di progetti o rivalutare la priorita,Chiedere piu budget per annullare i progetti paralleli,C
Cosa succede se si omette di identificare stakeholder esterni rilevanti nella scheda di avvio,Si ottiene un velocissimo passaggio a esecuzione,Non si crea alcun problema,Potrebbero emergere rallentamenti e richieste tardive in fasi avanzate,Si riduce la dimensione di scope,B
Perche e necessario definire sinergie o sovrapposizioni con progetti esistenti gia in avvio,Per favorire la competizione interna,Per ridurre la comunicazione tra team,Per ottimizzare l uso di risorse e minimizzare i conflitti,Per bloccare i contratti in atto,C
Qual e il vantaggio di coinvolgere il PM nell elaborazione del business case in avvio,Genera un conflitto di interessi,Consente di allineare i costi e i benefici analizzati con le future scelte di planning,Evita la definizione di deliverable,Blocca la disponibilita del top management,B
Se la scadenza e fissata dalla direzione e in avvio si capisce che e irrealistica come comportarsi,Si ignora il problema,Si definisce un project charter con scadenza fittizia,Si evidenzia la criticita e si negoziano soluzioni o riduzioni di scope,Si minaccia di abbandonare il progetto,C
Come si formalizza l engagement di un fornitore critico in avvio,Non lo si nomina,Si inserisce nel charter la necessita di partnership e si allega un pre contract di fornitura,Si lascia alla fase di chiusura,Si delega la definizione a un manager secondario,B
Perche la condivisione della project vision con il team e uno step vitale nel kick off,Per generare segretezza,Perche il team e irrilevante in avvio,Per motivare e allineare i partecipanti su uno scopo comune,Per ridurre il numero di stakeholder,C
Cosa implica la mancata definizione dei criteri di successo dal punto di vista dell utente finale,Si diminuisce la qualita,Non incide in avvio,Potrebbe portare a un progetto che soddisfa parametri interni ma non le reali aspettative dell utente,Si riduce il carico di test,B
Se in avvio manca l accordo su come distribuire i costi fra piu dipartimenti aziendali quale soluzione valutare,Ignorare la questione e caricare i costi su un solo reparto,Ridurre i deliverable fino a che non si trova un accordo,Creare un comitato di sponsor e definire regole di ripartizione nella charter,Chiedere un appalto esterno,C
Come si rende effettiva l autorita del project manager designato in un organizzazione funzionale,Si omette il PM,Si lascia al manager di linea la decisione finale,Si riporta in charter l approvazione formale del top management e si definisce un accordo con i manager funzionali,Si delega la definizione a un fornitore esterno,C
Perche e meglio includere una sintesi delle ipotesi e delle limitazioni in un documento di avvio,Per ridurre la trasparenza sugli obiettivi,Per evitare conflitti con i manager,Perche stakeholder e sponsor sappiano quali presupposti sono stati considerati e quali vincoli limitano l azione,Per impedire qualsiasi revisione successiva,C
Se il contesto culturale dell azienda e ostile ai progetti cross funzionali come superarlo gia in avvio,Rinunciare al progetto,Imporre un project manager esterno,Creare una forte sponsorship e definire chiari benefici comuni per coinvolgere le diverse unita,Abbandonare l idea di un cross functional approach,C
Cosa si ottiene definendo un charter conciso e ben strutturato,Si generano contrasti sul procurement,Si vincola il budget a un valore fisso,Si offre un documento di riferimento chiaro a tutti in poche pagine con obiettivi e ruoli,Si limita la capacita del PM di cambiare rotta,C
In caso di progetto spin off nato da un iniziativa piu ampia come gestire l avvio,Si ignora l iniziativa madre,Si duplica integralmente la documentazione,Si definisce il collegamento con la macro iniziativa e si crea un charter specifico definendo confini e relazioni,Si lancia l esecuzione con un micro budget,C
Perche la definizione del manager di progetto e delle sue competenze risulta critica in avvio,Per rivedere le milestone contrattuali,Per delegare a sponsor tutti i compiti,Per evitare incertezze su guida e leadership e chiarire le aspettative di performance,Per non dover pagare la WBS in esecuzione,C
Come considerare un contesto esterno in rapido cambiamento gia nella fase di avvio,Si ignora la possibilita di cambi,Si impostano deliverable fissi e immutabili,Si riconosce la natura dinamica e si prevede un approach flessibile e un robusto change management,Si riduce lo scope del 50 per cento,C
Cosa succede se la project charter e firmata ma il team non la conosce,Si avvia ugualmente l esecuzione con confusione,Si generano costi ridotti,Si rischia di iniziare con obiettivi ignoti e mancanza di direzione condivisa,Si delega ogni attività allo sponsor,C
Se mancano dati storici come valutare la fattibilita di un progetto innovativo in avvio,Lo si scarta,Si procede con stime a caso,Si prevede uno studio preliminare e stime di massima coinvolgendo esperti,Si definisce uno scope in un paragrafo molto vago,C
Perche la definizione di indicatori qualitativi e quantitativi e utile gia in avvio,Per delegare la definizione costi a un fornitore,Per bloccare i manager funzionali in penali,Per dare parametri di riferimento su cui poi basare i test e il monitoraggio,Per ridurre la fase di chiusura,B
Come ci si muove se l ente sponsor e una societa partner con cui non esistono protocolli interni,Si impone un PM interno senza consultare la partner,Si abbandona l idea,Si definisce in charter come avverranno comunicazioni e approvazioni e si negozia un set di regole comuni,Si ignora la differenza e si lancia la WBS,C
Quale domanda guida la definizione del project scope in avvio,Quanto costera ogni singolo deliverable,Chi e responsabile di ogni task,Che cosa deve essere realizzato e che risultati si vogliono ottenere,Quale standard ISO e piu idoneo al controllo,C
Come si affronta un conflitto di obiettivi tra sponsor e principali stakeholder gia nelle prime discussioni di avvio,Si ignora e si spera si risolva dopo,Si elimina lo stakeholder scomodo,Si convoca un confronto mediato e si cerca un accordo su priorita e criteri di successo,Si riduce la baseline di costi,C
Perche l avvio di progetti interni ha bisogno di un piano di sponsor engagement simile a quelli esterni,Non e necessario,Per punire i manager funzionali,Perche anche in progetti interni lo sponsor deve essere coinvolto e supportare risorse e decisioni,Per ridurre la qualita del deliverable,C
Cosa indica la definizione del success criteria all interno del project charter,La conclusione del procurement,Una stima della WBS al 100 per cento,La necessita di parametri oggettivi o misurabili per valutare il completamento e la soddisfazione degli obiettivi,La definizione delle penali per i subfornitori,C
Se l avvio e affidato a una persona senza competenza di project management quali rischi emergono,Maggiore flessibilita e rapidita,Una definizione piu accurata di scope,Possibile superficialita nel definire obiettivi e stakeholder generando problemi futuri,Un immediato passaggio a esecuzione e collaudo,C
Domanda,Opzione1,Opzione2,Opzione3,Opzione4,Corretta
"Nel triplo vincolo, tempi-costi-qualità, la qualità fa riferimento alla:","Qualità esclusivamente derivata dalle norme ISO","Qualità delle risorse impiegate nel processo produttivo","Costi necessari a correggere i difetti del prodotto","Qualità del prodotto ottenuto e del project management necessario ad ottenerlo",d
"Una metodologia di project management è considerata di successo se:","Sono rispettati i tempi e i costi di un progetto, anche non ottenendo il massimo livello di qualità desiderato","Permette di utilizzare le risorse assegnate in maniera efficace ed efficiente","Il PM segue pedissequamente le linee guida della metodologia scelta per gestire il progetto","Il PM ha delegato al minimo le attività e centralizzato le decisioni più importanti",b
"Perché un progetto dovrebbe essere influenzato dal tipo di struttura organizzativa che caratterizza l'organizzazione ospitante?","Perché il PM è costretto a seguire le procedure di qualità definite dall'organizzazione","Perché una struttura molto rigida non consente al PM di utilizzare al meglio le sue soft skill","Perché il PM sarà costretto ad adottare la stessa struttura anche nella gestione del suo progetto","Perché sono vincolanti le caratteristiche dei canali informativi e le diverse linee di autorità che interconnettono le diverse funzioni coinvolte nel progetto",d
"Le strutture organizzative che interessano la gestione di progetto stabiliscono i criteri che sovrintendono al:","Controllo di gestione","Coordinamento delle attività e interdipendenza dei ruoli","Sistema informativo ""Human Resources""","Gestione del progetto",b
"Tra le attività di portfolio management vi sono:","Selezione progetti e programmi e assegnazione di priorità in funzione degli obiettivi strategici","Controllo dell'avanzamento delle attività di progetto","Controllo dell'avanzamento delle attività di programma","Approvazione delle sole iniziative che presentano un alto grado di correlazione tra loro",a
"Un piano strategico che preveda l'aumento del 10% delle vendite nei mercati consolidati europei e l'entrata in un nuovo mercato del sud est asiatico darà luogo a:","Due progetti distinti","Un programma","Un portfolio di progetti","Non necessariamente a qualcosa, perché si tratta solo di un desiderata strategico",c
"Grazie al ""tailoring"", il PM:","Definisce la politica della qualità dell'organizzazione","Può modificare le variabili di contesto del progetto","Definisce quali processi utilizzare per il progetto e il loro grado di adattamento","Può selezionare gli stakeholder con cui intraprendere una proficua relazione nel progetto",c
"Il rilascio del Project Charter:","Sancisce il completamento dell'avvio di ogni fase del progetto","Sancisce l'inizio della giustificazione iniziale del progetto","Rappresenta il documento più semplice per la definizione del reticolo di progetto","Delinea i rapporti di forza nell'organizzazione a cui appartiene lo sponsor",a
"Il Project Charter:","È anche detto Scheda Progetto","È utilizzato per ufficializzare la nascita di un progetto, appartiene ai processi di avvio, il cui rilascio ne sancisce il completamento","Contiene informazioni circa le motivazioni e la giustificazione di un progetto (compresi anche nel business case)","Tutte le risposte sono corrette",d
"Le milestone:","Possono avere durata pari a 0 se non comportano verifiche da effettuare. Alle volte, possono avere una durata diversa da zero in funzione della durata dei controlli da effettuare sul progetto definiti per quel momento","Sono sempre delle scadenze verso il cliente nelle quali c'è il rilascio di un deliverable","Possono essere delle scadenze definite con il cliente con il rilascio di un deliverable, ma possono anche rappresentare dei momenti di controllo interno che il PM decide di inserire in un piano di progetto","Rappresentano il momento in cui si chiude una fase e si apre la successiva",c
"La baseline è necessaria:","Nell'analisi dei dati storici del progetto, in quanto non consente la formulazione di stime a finire","Per verificare gli scostamenti effettivo/pianificato e nella misurazione delle performance di progetto","Allo sponsor per reperire i fondi necessari al finanziamento del progetto","Perché consigliata da diverse metodologie di project management, anche se nella realtà la sua utilità è relativa",b
"Quale tecnica di compressione della schedulazione del progetto consente di modificare la logica del reticolo per sovrapporre le fasi che verrebbero in genere svolte in sequenza, come la fase di progettazione e quella di costruzione, o per eseguire in parallelo le attività schedulate?","La tecnica del Crashing","La tecnica del Metodo del Percorso Critico","La tecnica del Multitasking","La tecnica del Fast Tracking",d
"Durante la pianificazione è opportuno:","Comprimere al massimo il tempo di sviluppo dei piani per dare spazio alle attività di sviluppo","Coinvolgere gli stakeholder esperti e coloro che dovranno realizzare le attività di progetto","Non delegare ai membri del gruppo attività sui piani, fino al momento in cui questi non siano approvati","Non tener conto dei suggerimenti di chi svolge attività operative, lasciando invece spazio agli esperti di pianificazione",b
"La distribuzione dei dati riguardanti l'avanzamento lavori e di tutte le informazioni da rendere note ai diversi stakeholder viene eseguita secondo quanto:","deciso in sede di SAL dal Project Manager","previsto nel Project Charter","stabilito dal piano di gestione della comunicazione","imposto in sede di SAL dal Project Manager e condiviso ed approvato dallo Sponsor",c
"L'identificazione degli scostamenti dal piano dà luogo normalmente a:","Azioni correttive","Analisi qualitativa dei rischi","Definizione di nuove baseline","Coinvolgimento degli stakeholder",a
"L'aggiornamento della baseline:","È un'attività che il PM può decidere in modo autonomo","Dipende da attività appartenenti a processi e procedure ben definite per il controllo della configurazione","Se lo sponsor autorizza, può essere superato il blocco eventualmente posto da processi e procedure relative al controllo della configurazione","Non deve mai essere effettuato in un progetto",b
"L'incontro volto ad esaminare approfonditamente i risultati conseguiti in un progetto, evidenziandone i punti di forza e di debolezza è detto:","Kick Off Meeting","End of Project Meeting","Close Out Meeting","Close Up Feedback Meeting",c
"L'analisi SWOT:","Consente una visione integrata del contesto interno e del contesto esterno che incidono fortemente sul progetto","Rappresenta la base su cui determinare il calcolo delle riserve di contingency del progetto","In un secondo momento permette la tracciatura della curva ad S del budget","Chiarisce cosa il gruppo di progetto non riesce a realizzare internamente e deve acquisire all'esterno",a
"Il rispetto degli obiettivi concordati e la copertura dei requisiti funzionali importanti per il progetto sono esempi di:","Estrema facilità del progetto","Ottima selezione delle risorse di gestione del progetto","Condizioni fortunate al contorno del progetto stesso","Criteri di successo del progetto",d
"Il ruolo del Project Manager:","Comprende le azioni riguardanti: la cosiddetta mobilitazione del team di progetto, l’approccio gestionale, la governance operativa e le attività di pianificazione.","Comprende la gestione delle performance del progetto durante tutto il ciclo di vita (attività di controllo progetto) e delle attività di inizio, avanzamento e chiusura di ciascuna fase e di ciascun work package","Comprende la gestione della realizzazione dei prodotti (cosiddetto delivery) e della chiusura del progetto.","Tutte le risposte sono corrette",d
"L'integrazione nel project management NON comprende le attività necessarie:","per sviluppare un piano di progetto","per cancellare un piano di progetto","per eseguire il piano;","per apportare modifiche al piano.",b
"Si considerano stakeholder:","Tutti coloro che in qualche maniera hanno un interesse verso il progetto","Tutti coloro che sono influenzati positivamente o negativamente dal progetto o che ritengono (a ragione o meno) di esserne influenzati","Tutti coloro che possono dare una mano al progetto","Tutti coloro che vivono nel contesto del progetto",b
"Realizzare un deliverable di progetto:","È un output dei processi di esecuzione","È un output dei processi di supporto","È compito dei membri del project team","Le altre risposte presenti sono errate",a
"La mancata individuazione di uno stakeholder fondamentale per il progetto:","Potrebbe comportare rischi futuri sul progetto al momento dell'accettazione del prodotto","Non è responsabilità del project manager","Su decine di stakeholder non è un problema dimenticare qualcuno","E' un problema risolvibile attraverso la sua eliminazione dal Registro degli Stakeholder",a
"L’integrazione nel project management …","Comprende solo i processi necessari per unificare e coordinare le attività del progetto che fanno riferimento al triplo vincolo (ambito, tempi, costi)","Non riguarda le decisioni su dove e come concentrare le risorse a disposizione","Comprende le attività necessarie per individuare, definire, combinare, unificare, coordinare, controllare e chiudere le diverse attività del progetto","Si riferisce all'integrazione delle variabili del contesto esterno all'interno del progetto",c
"L’approccio sistemico consente al responsabile di progetto di effettuare opportune scelte strategiche tra obiettivi e alternative, anche in eventuale contrasto tra loro, perché:","Tutte le risposte sono esatte","Per definire la migliore allocazione delle risorse","Per soddisfare in modo efficace le aspettative del cliente","Per prevedere potenziali questioni prima che diventino critiche",a
"Le esclusioni dall'ambito del progetto:","Non è necessario che vengano rese esplicite perché tutto ciò che non è compreso nella descrizione dell'ambito del progetto è necessariamente escluso","Quando si fornisce un prodotto al cliente è necessario considerare la sua descrizione in senso estensivo e anche se qualcosa non è descritto deve essere fornito ugualmente","Daranno sicuramente luogo a delle richieste di modifica da parte del cliente","È bene che vengano chiaramente esplicitate nella descrizione dell'ambito del progetto per non generare incomprensioni",d
"Le eventuali variazioni al lavoro previsto nel progetto:","Superato il 75% dell'esecuzione del progetto non potranno più essere accettate","Dovranno essere gestite tramite i processi di gestione delle modifiche e controllo della configurazione","Potranno essere processate dal Project Manager, senza grandi formalismi, semplicemente ascoltando le richieste degli stakeholder e valutando i rischi attraverso la lunga esperienza sul campo","Non potranno essere accolte nel momento in cui modificano una baseline",b
"Nella preparazione della WBS ottimale, si dovrebbe scendere ad un livello di scomposizione di dettaglio (WP) in grado di identificare:","Un unico responsabile","Una sola risorsa che vi lavora","Un grado di soddisfazione del cliente più alto di quello pattuito nella descrizione dell'ambito","Maggiori savings sul progetto",a
"L'ottimizzazione o livellamento delle risorse appartiene al processo:","Identificazione e sequenzializzazione delle attività di progetto","Stima delle durate delle attività","Controllo dei tempi","Programmazione temporale o schedulazione delle attività",d
"Nel reticolo di programmazione AOA (Activity on Arc):","Le attività sono rappresentate sugli archi, le frecce indicano le relazioni e le dipendenze, mentre i nodi rappresentano le attività","Le relazioni e le dipendenze sono rappresentate sugli archi, le frecce indicano le attività, mentre i nodi rappresentano le attività","Le attività e le frecce hanno lo stesso valore, mentre i nodi rappresentano le attività","Le attività sono rappresentate sugli archi, le frecce indicano le attività, mentre i nodi rappresentano le relazioni e le dipendenze",d
"Il processo Identificazione e sequenzializzazione delle attività di progetto:","Identifica le attività e individua i legami logici tra le attività stesse, per arrivare al disegno del reticolo logico di progetto","Individua le attività, stima la loro durata e i legami logici tra le attività stesse, per arrivare al disegno del reticolo logico di progetto","Identifica le attività e definisce i dettagli da inserire nel Dizionario della WBS","Non si applica a tutti i progetti, ma solo a quelli più complessi",a
"Il calcolo della disponibilità di ciascuna tipologia di risorsa sul progetto deve far riferimento a:","Numero di progetti su cui è impegnata e costo di utilizzo","Capacità personali e quantità disponibile nel periodo","Periodo e quantità disponibile nel periodo","Periodo e costo da sopportare nel periodo",c
"La tipologia di contratto più appropriato viene individuata sulla base di:","Numerosità di consegne da effettuare","Paese di appartenenza del fornitore e dell'acquirente","numerosità di fornitori che intervengono in un progetto","Complessità del bene/servizio richiesto e/o rischio che si vuole assumere",d
"I contratti a misura:","Possono essere applicati solo alle lavorazioni che sviluppano prodotti in metri lineari","Non possono essere applicati ai contratti che superano alcune soglie di importo prefissato","Sono contratti che applicano un rapporto pari a 2:1 tra prestazioni del fornitore e somme pagate dall'acquirente","Sono applicati laddove è possibile fissare un prezzo unitario per ogni unità di deliverable",d
"Che tipo di approccio va seguito nella identificazione del rischio?","Un approccio ""one shot"", ovvero una volta soltanto, all'inizio del progetto","Un approccio metodico di ricerca sistematica dei rischi all’interno dei diversi elementi del progetto","Un approccio ""one shot"", ovvero una volta soltanto, all'inizio di ciascuna fase del progetto","Un approccio superficiale, in quanto gli elementi raccolti in questo processo saranno analizzati approfonditamente nel processo di analisi qualitativa/quantitativa e nel processo di controllo dei rischi",b
"Che cosa si indica con la notazione ""potenziale beneficio""?","Il beneficio che un rischio positivo può portare solo se il progetto viene condotto a termine","Il beneficio che un rischio può portare se la sua probabilità di accadere è 100%","Il beneficio che un rischio può portare se il suo impatto è classificato come ""alto""","Il prodotto tra probabilità di un rischio e il suo impatto, quando il rischio è positivo",d
"Quando la gestione finanziaria del progetto assume particolare rilevanza?","Nel caso di progetti a forte impatto sociale","Nel caso del ricorso al project financing, strumento di coinvolgimento di soggetti privati e di istituti bancari nel finanziamento di un progetto","Quando il budget del progetto supera i tre milioni di euro","Nel caso di costo del denaro molto elevato",b
"Per gestione dei costi si intende l'insieme delle attività volte a:","Stimare il budget di progetto","Evitare che AC superi l'EV in ogni momento del progetto","Stimare i costi previsti per ciascun elemento, definire la loro distribuzione temporale, controllare i valori stimati rispetto ai valori effettivi, in modo da analizzare gli scostamenti rispetto alle stime, e valutare i costi a finire","Individuare la risorsa del team di project management più esperta nella gestione dei costi e concederle le relative deleghe perché essa operi in autonomia",c
"La gestione delle modifiche di progetto, individuare la risposta ERRATA:","È l’attività che deve costantemente tenere sotto controllo le modifiche, che sia necessario apportare in corso d’opera al progetto, di modo che se ne preservi la congruenza, l’integrazione, il coordinamento e il controllo in ogni suo aspetto.","Impattano di norma sull’ambito e possono riguardare: risposte a specifiche esigenze, nuove attività necessarie a risolvere scostamenti rispetto alle performance previste per alcuni componenti e/o deliverable","Il fine è di garantire che il progetto rimanga allineato agli obiettivi degli stakeholder.","È la correzione di errori o rispetto di conformità dei deliverable secondo quanto definito nei piani di qualità del progetto",d
"Il Budget at Completion:","È il BAC, ovvero il valore del lavoro effettivamente eseguito alla data di avanzamento","È la stima del costo totale di progetto","È uguale al valore dell'EAC quando i costi effettivamente sostenuti sono maggiori di quelli stimati nella definizione del budget","È il valore, in termini di costi effettivi, del lavoro effettivamente eseguito alla data di avanzamento",b
"Il metodo dell'Earned Value:","È l'unico metodo riconosciuto dagli standard internazionali per la valutazione delle performance di un progetto","Consente di portare il progetto a termine, con una probabilità pari almeno al 90%","Fornisce proattivamente dei segnali di allarme in caso di criticità, permettendo di intraprendere azioni correttive e di supportare le decisioni","Abbatte completamente il livello di rischio di un progetto",c
"Tra le attività operative attraverso cui gestire le comunicazioni di progetto si riconoscono:","La raccolta e l’analisi dei dati, l'approvazione da parte del Project Manager e la distribuzione delle informazioni a tutti gli stakeholder","La raccolta di tutti i dati relativi ai consuntivi e alle prestazioni, l’analisi dei dati con gli strumenti adeguati, la preparazione dei risultati nel formato richiesto, la distribuzione delle informazioni a tutti gli stakeholder, secondo quanto previsto dal piano della comunicazione","Le attività con cui gestire le comunicazioni di progetto non possono essere preordinate, ma dipendono dalla particolare situazione che il progetto attraversa e dalla tipologia di dati in quel momento disponibili","È il Project Manager che, in base alle necessità contingenti, organizza la raccolta, il trattamento e la distribuzione delle informazioni",b
"Per la corretta gestione delle comunicazioni con tutti gli stakeholder coinvolti, cosa si ritiene indispensabile?","La disponibilità delle informazioni e della documentazione e la condivisione delle stesse con gli stakeholder interessati, nelle modalità di invio/ricezione concordate e nei tempi pianificati","La massima disponibilità degli stakeholder al dialogo","Il ricorso alla delega da parte del Project Manager, in quanto non è efficiente l'accentramento della gestione delle comunicazioni","La disponibilità di mezzi di comunicazione social, di nuova generazione",a
"Quale è il fine dell'assicurazione di qualità?","Monitorare in modo continuo gli obiettivi di qualità dei prodotti e dei servizi","Definire le azioni correttive per correggere eventuali deviazioni dalla qualità perseguita","Non verificare l'applicazione dei requisiti di qualità ai processi, ma solo ai deliverable del progetto","Facilitare e consentire la conformità ai requisiti di prestazione, ai processi e alle norme di qualità applicabili",d
"Sviluppare il gruppo di progetto ha come output:","Azioni correttive","Richieste di modifica","Prestazioni del gruppo di progetto","Prestazioni del personale di progetto",c
"Con riferimento allo sviluppo del budget di progetto, individuare quale delle seguenti informazioni non è corretta_____","la stima dei costi e l'elaborazione del budget sono strettamente collegati","fa parte dei processi di esecuzione","per coprire costi imprevisti possono essere create e utilizzate riserve o quote di contingenza","l'assegnazione del budget agli elementi di lavoro programmati dovrebbe fornire un budget basato sul programma temporale rispetto al quale possono essere confrontate le prestazioni effettive",b
"Un valore di CV negativo ad uno stato di avanzamento lavori indica che:","Il progetto sta performando bene rispetto ai costi","Il progetto finirà in ritardo","Il progetto sta impegnando più di quanto dovrebbe","Il costo alla fine del progetto sarà sicuramente minore del pianificato",c
"Quale è la formula per calcolare l'EAC, nel caso in cui la stima del costo finale si dovesse calcolare tenendo conto di quanto effettivamente speso (AC), del valore in termini di budget del lavoro realizzato (EV), della performance economica (CPI) e della performance di schedulazione (SPI)?","EAC = EV - PV","EAC = AC + ETC = AC + ((BAC - EV) / CPI)","EAC = AC + ETC = AC + ((BAC - EV) / (CPI x SPI))","EAC = AC + ETC = AC + (BAC - EV)",c
"Il tailoring dei processi di project management:","È responsabilità del project manager","Può essere imposto dagli stakeholder di alto potere e alto interesse","È dettato dallo sponsor","Le altre risposte presenti sono errate",d
"Con chi comunica il Project Manager nel progetto?","Con i componenti del team di progetto, lo sponsor e tutti gli altri stakeholder (chiave, istituzionali, operativi, marginali)","Con gli altri Project Manager dell'organizzazione, secondo una linea gerarchica orizzontale","Solo con lo sponsor o l'alta direzione, delegando il resto delle comunicazioni ai membri del team di project management","Interviene nei momenti di criticità con chiunque. Durante la normale gestione dedica il suo tempo alla formulazione e aggiornamento del piano di progetto",a
"Le abilità a cui il Project Manager fa ricorso per l'esercizio della leadership sono:","Abilità di autocoscienza, empatia, gestione delle emozioni e gestione dello stress","Abilità personali, relazionali, di pensiero strategico e creativo, di pensiero sistemico","Abilità di laboriosità, affidabilità, intraprendenza, adattabilità, responsabilità","Abilità di spirito di gruppo, adattamento a contesti multiculturali, senso dell'organizzazione, esperienza nella gestione dei gruppi",b
"Che conseguenza ha un comportamento descritto dalla teoria X di McGregor?","Un assetto organizzativo prescrittivo, costrittivo e caratterizzato da totale accentramento causa esattamente i comportamenti previsti da tale ipotesi: le persone sviluppano atteggiamenti restrittivi ed opportunistici","Le persone, soggette ad un assetto costrittivo e private di ogni delega, dimostrano incapacità di assumere responsabilità complesse","La situazione “X” si caratterizza per la sfiducia reciproca che blocca ogni stimolo di crescita personale e professionale, inducendo a ritenere molto difficoltoso il passaggio da una condizione “X” a una condizione “Y""","Tutte le risposte sono corrette",d
"Differenze tra Team Building e Team Working:","Il primo è significativo di un percorso evolutivo attraverso il quale un insieme di persone tende a trasformarsi in un team di progetto, cioè un gruppo coeso, integrato e sinergico, mentre il secondo individua il lavoro di gruppo con condivisione di obiettivi e di motivazioni","Lo scopo del team working è quello di far sentire il gruppo come una vera squadra","Il primo individua il lavoro di gruppo con condivisione di obiettivi e di motivazioni, mentre il secondo è significativo di un percorso evolutivo attraverso il quale un insieme di persone tende a trasformarsi in un team di progetto, cioè un gruppo coeso, integrato e sinergico","Nel team building gli individui sono già parte di un gruppo precostituito e lo scopo è quello di lavorare in modo più sinergico tra loro per raggiungere un obiettivo comune",a
"L’abilità di un negoziatore si rivela nella sua capacità di:","Dimostrare una sufficiente flessibilità, in modo da poter utilizzare efficacemente le alternative che possono presentarsi durante la sessione negoziale","Tutte le risposte sono corrette","Comprendere i livelli e le tolleranze di accettabilità di una soluzione (compromesso), sia per la propria che per l’altrui parte, al fine di concludere in modo positivo il negoziato","Disporre di una prontezza e di una duttilità intellettiva, tali da consentirgli di adattarsi alle mutevoli esigenze presentate dalla specifica situazione negoziale",b
"Cosa può diventare un handicap nella gestione del conflitto?","Il conflitto in sé stesso","La maniera sbagliata di gestirlo o non gestirlo (magari rimandandolo)","Le persone che hanno dato origine e vivono il conflitto","Il non aver eliminato la causa del conflitto prima della partenza del progetto",b
"In cosa consiste l'approccio della Rinuncia nella gestione dei conflitti nel team di progetto?","Nell'evitare la situazione ritirandosi, con l'intento di mitigare la situazione (temporanea) di sconfitta","Nell'attenuare i punti di divergenza","Nell'affrontare apertamente il conflitto","Nel far prevalere con forza il proprio punto di vista",a
"In accordo allo standard ISIPM, quale tra le seguenti NON è una tecnica di problem solving:","Diagramma ""a lisca di pesce""","Metodo del Net Present Value","Analisi costi/benefici","Metodo cartesiano",b
"L'etica può assumere diversi connotati. Indicare l'affermazione ERRATA:","L'etica può essere prescrittiva, se indica norme e criteri da seguire","L'etica può essere soggettiva, se considera il soggetto che agisce","L'etica può essere oggettiva, se considera valori comuni e istituzioni","L'etica può essere adattiva, se si adatta agli obiettivi del progetto",d
"Per costruire una WBS ottimale NON è buona regola:","Analizzare il contratto e le clausole annesse","Scendere a livello delle singole attività","Scomporre fino al livello più dettagliato possibile","Scomporre in base ai rischi dei deliverable",c
Domanda,Opzione1,Opzione2,Opzione3,Opzione4,Corretta
"Per gestione delle informazioni NON si intende","Preparare i risultati nel formato richiesto","Indicare le modalità con cui le informazioni devono essere cancellate/rimosse","Raccogliere tutti i dati relativi ai consuntivi ed alle prestazioni","Rendere disponibili in modo tempestivo agli stakeholder di progetto le informazioni stabilite",b
"L'assicurazione qualità fa parte:","Dei processi di controllo","Dei processi di pianificazione","Dei processi di chiusura","Dei processi di esecuzione",d
"Il momento in cui il project manager deve compiere l’analisi di contesto è:","Allorché ciò venga richiesto ed esplicitato nel kick-off meeting con lo sponsor.","All'inizio dei processi di avvio, e in ogni altro caso lo ritenga necessario.","Prima di iniziare la pianificazione del progetto","prima della redazione del project charter, e dopo l’analisi del contesto esterno.",b
"Le performance economiche del progetto, in corso d'opera, vanno definite in base a:","I costi stimati per singola Attività","La Baseline dei costi","I costi definiti nel piano finanziario (Cash Flow)","Tutte le risposte sono corrette",b
"Con Programma si intende:","Un gruppo di progetti e altre operazioni correlate, che concorrono al raggiungimento di un obiettivo","Un insieme di attività altamente collegate tra di loro per raggiungere un beneficio comune","Progetti e portfoli di progetti che concorrono al raggiungimento di un obiettivo","Un gruppo di progetti indipendenti tra loro gestiti dalla stessa organizzazione",a
"Il livellamento a ""tempi limitati"":","Determina necessariamente un ritardo sulla data di fine progetto","Non determina mai un ritardo sulla data di fine progetto","Non determina lo spostamento temporale di attività aventi Total Float maggiore di 0","Determina un ritardo di progetto ma solo se vi sono risorse in sovraccarico",b
"La revisione di una Baseline rende necessaria la approvazione di quali stakeholder di progetto?","Tutti gli Stakeholder","Il committente","Lo Sponsor","Il Project Manager",c
